,X20170615_lu.test2_01_01.RCCprocessed.csv,X20170615_lu.test2_01_02.RCCprocessed.csv,X20170615_lu.test2_01_03.RCCprocessed.csv,X20170615_lu.test2_01_04.RCCprocessed.csv,X20170615_lu.test2_01_05.RCCprocessed.csv,X20170615_lu.test2_01_06.RCCprocessed.csv,X20170615_lu.test2_01_07.RCCprocessed.csv,X20170615_lu.test2_01_08.RCCprocessed.csv,X20170615_lu.test2_01_09.RCCprocessed.csv,X20170615_lu.test2_01_10.RCCprocessed.csv,X20170615_lu.test2_01_11.RCCprocessed.csv,X20170615_lu.test2_01_12.RCCprocessed.csv,X20170615_lu.test3_01_01.RCCprocessed.csv,X20170615_lu.test3_01_02.RCCprocessed.csv,X20170615_lu.test3_01_03.RCCprocessed.csv,X20170615_lu.test3_01_04.RCCprocessed.csv,X20170615_lu.test3_01_05.RCCprocessed.csv,X20170615_lu.test3_01_06.RCCprocessed.csv,X20170615_lu.test3_01_07.RCCprocessed.csv,X20170615_lu.test3_01_08.RCCprocessed.csv,X20170615_lu.test3_01_09.RCCprocessed.csv,X20170615_lu.test3_01_10.RCCprocessed.csv,X20170615_lu.test3_01_11.RCCprocessed.csv,X20170615_lu.test3_01_12.RCCprocessed.csv,X20170616_lu.test4_01_01.RCCprocessed.csv,X20170616_lu.test4_01_02.RCCprocessed.csv,X20170616_lu.test4_01_03.RCCprocessed.csv,X20170616_lu.test4_01_04.RCCprocessed.csv,X20170616_lu.test4_01_05.RCCprocessed.csv,X20170616_lu.test4_01_06.RCCprocessed.csv,X20170616_lu.test4_01_07.RCCprocessed.csv,X20170616_lu.test4_01_08.RCCprocessed.csv,X20170616_lu.test4_01_09.RCCprocessed.csv,X20170616_lu.test4_01_10.RCCprocessed.csv,X20170616_lu.test4_01_11.RCCprocessed.csv,X20170616_lu.test4_01_12.RCCprocessed.csv,X20170616_lu.test5_01_01.RCCprocessed.csv,X20170616_lu.test5_01_02.RCCprocessed.csv,X20170616_lu.test5_01_03.RCCprocessed.csv,X20170616_lu.test5_01_04.RCCprocessed.csv,X20170616_lu.test5_01_05.RCCprocessed.csv,X20170616_lu.test5_01_06.RCCprocessed.csv,X20170616_lu.test5_01_07.RCCprocessed.csv,X20170616_lu.test5_01_08.RCCprocessed.csv,X20170616_lu.test5_01_09.RCCprocessed.csv,X20170616_lu.test5_01_10.RCCprocessed.csv,X20170616_lu.test5_01_11.RCCprocessed.csv,X20170616_lu.test5_01_12.RCCprocessed.csv
ENSORLG00000019168,22.85046084,6.580795921,40.81686464,5.697101585,1,15.64048553,7.609990312,24.2273623,1.323426663,73.25442546,59.03693631,11.76597622,8.171343699,17.19508335,46.8609126,3.657939455,41.1126179,4.134074892,8.314352247,17.09201179,20.2128116,13.27365626,24.95950289,27.40669242,6.479985281,34.31844343,15.50652008,13.26238057,11.10701994,30.45286699,12.65065835,61.36349351,21.50479774,35.8772138,9.428050126,30.66031679,23.84412473,37.91251715,26.72135835,18.59696729,17.2646734,24.50792734,27.03535199,27.19114146,33.49852058,36.66429005,25.08002347,25.79460983
ENSORLG00000002629,139.4083659,229.8671813,137.5739655,138.3989658,181.4194107,178.8795213,167.0832114,195.2243969,73.31480214,65.48515062,120.8038141,88.58926623,99.55347235,195.1531716,156.5897698,140.3730335,62.23659455,139.202299,172.0279691,58.37783203,86.75945961,102.2631977,62.14286216,83.36084422,42.22701454,53.58333638,31.1728054,35.41322643,41.78755053,28.01408318,30.42646539,98.67651483,44.7964568,46.15054458,25.12627866,30.66031679,47.18351913,67.38744594,35.53822113,60.79939016,118.7287884,126.1097692,80.68307309,80.20853126,74.1369083,51.7317878,54.8929742,45.89580651
ENSORLG00000008715,174.2017704,95.89535009,161.7632408,139.7393887,324.6744994,200.6447261,175.6264196,268.0564672,165.4637627,345.179045,171.3403505,147.9992772,108.6916852,155.2033966,43.89526781,150.8895791,157.2944895,160.8132148,97.05631279,111.4596009,194.5016516,131.9263782,167.9724231,155.7720995,300.7055338,323.2918378,88.6158516,93.95474762,115.4208239,101.1775976,141.5252594,83.7513063,257.7487682,241.3438294,162.8862434,93.96205176,150.5436943,228.6326446,186.5269963,95.32864523,174.5583253,173.3187058,132.4148042,143.9115965,134.3419272,119.0332777,125.81166,132.1076056
ENSORLG00000006046,40.24716309,25.71962896,89.19541509,24.46302178,38.16432194,48.28829269,30.39187903,25.81066817,12.84204674,26.6387764,19.73074135,27.13063422,35.5859823,38.98586966,43.89526781,26.94457635,30.55062957,33.84908419,32.79489309,17.09201179,37.6416956,42.93683674,10.65821087,20.82385103,21.60372843,24.68599695,78.17166138,16.95418821,35.65144441,42.64678606,1,46.43828499,48.12383667,56.42387536,40.8245072,54.83007014,63.85451512,29.24342045,43.25297607,26.27013509,15.56551358,20.06070867,22.24537689,20.20435365,24.96947624,33.6507905,22.36975523,36.51524806
ENSORLG00000003571,35.02815241,76.75651705,137.5739655,16.42048455,46.59109187,26.52308792,37.98584194,30.5605858,21.4810118,34.40805124,42.19142419,75.27322929,63.00062089,75.30384684,53.78075044,42.71939488,48.15394345,31.14771971,45.03516351,52.47985771,37.6416956,24.06026734,59.28260375,50.44663728,36.72747158,53.58333638,130.3926125,45.43384717,33.6060757,91.42246235,39.31436891,46.43828499,18.17741788,56.42387536,81.19138058,44.47160442,40.51512073,43.11397517,43.25297607,22.43355119,24.06131268,35.45492713,41.40527729,36.23286685,33.49852058,39.17553968,39.98649884,40.08879414
ENSORLG00000002182,1221.483246,848.6894495,1105.144975,788.5040581,746.0129957,592.4184121,727.1379758,440.6368077,1055.277164,453.9488928,704.7815678,550.5533168,675.2608829,514.7513708,820.8942029,1047.80069,766.3691495,547.1083357,846.772876,506.6238803,1162.596936,895.0791122,597.0111839,886.4674936,530.9988954,727.8545899,793.5986913,641.9244821,733.1221731,615.7609824,514.8172073,919.5629838,756.855748,1289.223569,1119.517068,1252.959272,937.4147053,1017.520445,818.0347932,853.0539649,510.9919697,546.5429801,631.5302094,541.7475138,683.7127242,645.8934488,631.2766882,711.0220702
ENSORLG00000020473,5.453758594,70.37690604,65.00613987,40.54809622,71.87140165,48.28829269,47.47829558,63.8100092,38.75894191,81.0237003,53.4217656,57.85995022,67.56972732,82.56744228,43.89526781,33.70521286,19.98864125,58.16136452,19.02458887,55.42884487,93.09723561,75.29666998,70.72363737,66.90374075,82.7861439,53.58333638,20.72861519,52.81746246,31.560707,47.52435369,34.87041715,106.1391191,84.72501518,118.06386,13.59288627,27.20749489,67.18871432,82.99182001,65.29513303,47.37134652,41.53838511,44.34936447,45.23725737,40.75372955,58.08223661,48.21603832,41.34163296,45.00241999
ENSORLG00000017153,81.99924848,204.3487373,210.1417912,141.0798115,38.16432194,113.583907,165.1847206,106.5592679,107.8706624,96.56224999,81.49761915,139.8047929,81.27704662,71.67204912,142.7500942,117.0863966,76.31924565,20.34226178,69.51570435,161.5923826,13.8750356,15.97030903,42.12105332,33.9895338,3.042770928,34.31844343,1,1.659556545,19.28849476,1,12.65065835,38.97568072,21.50479774,15.33055225,1,1,53.85191753,22.30814309,14.59817202,10.9237995,66.05483395,62.13823913,36.61530219,36.23286685,30.98997812,18.08104283,21.46633248,16.41405137
ENSORLG00000019576,160.2844086,63.99729503,65.00613987,48.59063345,105.5784814,70.05349747,19.00093467,17.89413879,24.36066682,34.40805124,8.500399932,0.498560349,49.29330159,35.35407194,31.04414038,14.17448515,34.07129235,28.44635523,35.85496069,17.09201179,51.90169161,59.11675336,47.84157013,50.44663728,28.47815714,24.68599695,5.06232986,4.296562005,21.33386347,1,3.762754827,46.43828499,11.52265815,87.2438677,1,14.54714789,43.84931993,34.44487847,67.49934872,30.10671898,31.58616331,41.61261452,52.90121752,36.64385437,42.02756491,43.695789,35.01767371,33.8350885
ENSORLG00000014358,421.2349423,529.7088989,572.9809196,414.5260772,569.0508273,559.7706049,684.4219344,491.3025957,496.6240899,788.027711,525.0961051,735.9535234,593.0169671,420.3246301,284.1124958,311.6424919,269.9556983,317.4923548,328.091417,170.4393441,313.3349516,242.4891417,296.6840514,297.3031894,292.4562194,352.1891772,271.3891804,344.4702663,305.6401136,227.9943559,230.4042946,247.9286001,317.6416057,374.8971295,287.8313277,333.357704,347.2614471,256.3737541,262.5724378,271.8115045,554.1991765,488.7291374,258.8701468,354.7481932,284.8544743,205.9225147,210.7333984,202.6851407
ENSORLG00000006451,168.9827597,185.2099043,210.1417912,129.0160057,223.5532603,102.7013046,119.6209432,154.0584441,151.0654877,104.3315248,148.8796677,76.29753983,168.0900688,122.5172172,151.6470285,113.3304874,143.2118384,117.5913831,152.1375297,108.5106137,181.8260996,172.3761697,136.5095807,175.5206237,85.53591538,178.8051406,83.39375649,78.66011596,92.92176818,91.42246235,137.0813076,98.67651483,131.3083333,118.06386,81.51175259,102.0186362,157.2120927,141.9416776,119.2984176,108.7566889,103.6790871,128.5044254,154.4486896,132.403946,158.4239347,148.1637734,140.7181354,166.0562934
ENSORLG00000013461,268.1439625,191.5895153,331.0881673,240.271104,231.9800302,211.5273285,243.9720858,204.7242322,202.899278,104.3315248,193.8010333,203.312046,227.4884525,198.7849693,181.3034764,307.8865827,238.2697333,225.6459624,262.2999635,188.1332671,249.9571916,223.6125724,185.1339736,234.7661962,203.0886462,255.8647124,245.2787049,238.9900479,172.6911477,220.6780045,225.9603429,247.9286001,247.7666286,344.0771372,275.0164472,245.8862157,227.2302759,240.76938,309.9630753,314.0139274,305.8791057,261.5788917,187.9785153,272.9616771,230.6699573,208.4337643,221.5744714,221.4462576
